batch,scroll,window,direction,frac200,blobs_letterlike,p999,mean,verdict
p0191_batch,PHerc0191,w025,ink,0.00000,0,174.0,84.48,negative
p0191_batch,PHerc0191,w025,ink_reverse,0.00000,0,185.0,82.98,negative
p0191_batch,PHerc0191,w026,ink,0.00000,0,178.0,84.26,negative
p0191_batch,PHerc0191,w026,ink_reverse,0.00000,0,181.0,83.22,negative
p0191_batch,PHerc0191,w027,ink,0.00006,0,194.0,85.49,negative
p0191_batch,PHerc0191,w027,ink_reverse,0.00012,0,195.0,86.05,negative
p0191_batch,PHerc0191,w028,ink,0.00000,0,181.0,85.08,negative
p0191_batch,PHerc0191,w028,ink_reverse,0.00000,0,179.0,83.45,negative
p0191_batch,PHerc0191,w029,ink,0.00000,0,186.0,85.91,negative
p0191_batch,PHerc0191,w029,ink_reverse,0.00000,0,188.0,85.84,negative
p0191_batch,PHerc0191,w030,ink,0.00005,0,186.0,84.29,negative
p0191_batch,PHerc0191,w030,ink_reverse,0.00001,0,190.0,81.71,negative
p0191_batch,PHerc0191,w031,ink,0.00000,0,184.0,86.34,negative
p0191_batch,PHerc0191,w031,ink_reverse,0.00000,0,184.0,83.91,negative
p0191_batch,PHerc0191,w032,ink,0.00038,1,193.0,85.56,negative
p0191_batch,PHerc0191,w032,ink_reverse,0.00000,0,185.0,85.62,negative
p0191_batch,PHerc0191,w033,ink,0.00000,0,189.0,85.77,negative
p0191_batch,PHerc0191,w033,ink_reverse,0.00000,0,182.0,87.19,negative
p0191_batch,PHerc0191,w034,ink,0.00010,0,194.0,87.51,negative
p0191_batch,PHerc0191,w034,ink_reverse,0.00000,0,184.0,86.2,negative
p0191_batch,PHerc0191,w035,ink,0.00000,0,188.0,90.03,negative
p0191_batch,PHerc0191,w035,ink_reverse,0.00000,0,186.0,85.28,negative
p0191_batch,PHerc0191,w036,ink,0.00000,0,188.0,90.82,negative
p0191_batch,PHerc0191,w036,ink_reverse,0.00012,0,188.0,88.78,negative
p0191_batch,PHerc0191,w037,ink,0.00000,0,190.0,89.12,negative
p0191_batch,PHerc0191,w037,ink_reverse,0.00000,0,188.0,88.26,negative
p0191_batch,PHerc0191,w038,ink,0.00000,0,189.0,88.26,negative
p0191_batch,PHerc0191,w038,ink_reverse,0.00003,0,193.0,88.19,negative
p0191_batch,PHerc0191,w039,ink,0.00019,1,189.0,87.48,negative
p0191_batch,PHerc0191,w039,ink_reverse,0.00000,0,188.0,87.32,negative
p0191_batch,PHerc0191,w040,ink,0.00001,0,192.0,88.49,negative
p0191_batch,PHerc0191,w040,ink_reverse,0.00000,0,187.0,87.6,negative
p0191_batch,PHerc0191,w041,ink,0.00000,0,187.0,87.0,negative
p0191_batch,PHerc0191,w041,ink_reverse,0.00000,0,185.0,89.74,negative
p0191_batch,PHerc0191,w042,ink,0.00000,0,189.0,87.96,negative
p0191_batch,PHerc0191,w042,ink_reverse,0.00001,0,193.0,89.28,negative
p0191_batch,PHerc0191,w043,ink,0.00000,0,184.0,87.38,negative
p0191_batch,PHerc0191,w043,ink_reverse,0.00003,0,185.0,88.46,negative
p0191_batch,PHerc0191,w044,ink,0.00000,0,186.0,87.14,negative
p0191_batch,PHerc0191,w044,ink_reverse,0.00002,0,189.0,89.58,negative
p0191_batch,PHerc0191,w045,ink,0.00000,0,185.0,87.4,negative
p0191_batch,PHerc0191,w045,ink_reverse,0.00002,0,188.0,86.75,negative
p0191_batch,PHerc0191,w046,ink,0.00000,0,186.0,88.0,negative
p0191_batch,PHerc0191,w046,ink_reverse,0.00002,0,184.0,88.17,negative
p0191_batch,PHerc0191,w047,ink,0.00000,0,187.0,86.74,negative
p0191_batch,PHerc0191,w047,ink_reverse,0.00000,0,185.0,87.65,negative
p0191_batch,PHerc0191,w048,ink,0.00001,0,189.0,86.33,negative
p0191_batch,PHerc0191,w048,ink_reverse,0.00002,0,191.0,86.59,negative
p0191_batch,PHerc0191,w049,ink,0.00003,0,187.0,88.02,negative
p0191_batch,PHerc0191,w049,ink_reverse,0.00006,0,187.0,87.81,negative
